cricket_ID,population ,toxin,ID2,time,live,dead,total,group
24,B,B,142,0,145,36,181,BB
24,B,B,143,15,115,74,189,BB
24,B,B,144,30,104,92,196,BB
25,B,A,145,0,243,35,278,BA
25,B,A,146,15,237,52,289,BA
25,B,A,147,30,230,55,285,BA
25,B,B,148,0,218,13,231,BB
25,B,B,149,15,203,32,235,BB
25,B,B,150,30,184,47,231,BB
26,B,A,151,0,171,25,196,BA
26,B,A,152,15,152,49,201,BA
26,B,A,153,30,148,53,201,BA
26,B,B,154,0,76,41,117,BB
26,B,B,155,15,51,69,120,BB
26,B,B,156,30,40,78,118,BB
27,B,A,157,0,46,8,54,BA
27,B,A,158,15,39,17,56,BA
27,B,A,159,30,37,19,56,BA
27,B,B,160,0,68,20,88,BB
27,B,B,161,15,41,50,91,BB
27,B,B,162,30,39,51,90,BB
28,B,A,163,0,85,22,107,BA
28,B,A,164,15,62,49,111,BA
28,B,A,165,30,57,53,110,BA
28,B,B,166,0,204,41,245,BB
28,B,B,167,15,172,69,241,BB
28,B,B,168,30,166,85,251,BB
29,B,A,169,0,177,24,201,BA
29,B,A,170,15,172,29,201,BA
29,B,A,171,30,165,39,204,BA
29,B,B,172,0,136,36,172,BB
29,B,B,173,15,101,73,174,BB
29,B,B,174,30,96,78,174,BB
30,B,A,175,0,79,13,92,BA
30,B,A,176,15,58,34,92,BA
30,B,A,177,30,55,37,92,BA
30,B,B,178,0,181,49,230,BB
30,B,B,179,15,145,89,234,BB
30,B,B,180,30,141,90,231,BB
31,A,A,181,0,110,12,122,AA
31,A,A,182,15,89,35,124,AA
31,A,A,183,30,80,48,128,AA
31,A,B,184,0,126,265,391,AB
31,A,B,185,15,106,296,402,AB
31,A,B,186,30,97,311,408,AB
32,A,A,187,0,154,1,155,AA
32,A,A,188,15,147,8,155,AA
32,A,A,189,30,142,11,153,AA
32,A,B,190,0,148,80,228,AB
32,A,B,191,15,90,143,233,AB
32,A,B,192,30,85,153,238,AB
33,A,A,193,0,231,8,239,AA
33,A,A,194,15,224,13,237,AA
33,A,A,195,30,219,16,235,AA
33,A,B,196,0,32,10,42,AB
33,A,B,197,15,28,14,42,AB
33,A,B,198,30,21,21,42,AB
34,A,A,199,0,65,4,69,AA
34,A,A,200,15,62,7,69,AA
34,A,A,201,30,55,14,69,AA
34,A,B,202,0,100,14,114,AB
34,A,B,203,15,78,36,114,AB
34,A,B,204,30,68,46,114,AB
35,A,A,205,0,33,8,41,AA
35,A,A,206,15,32,11,43,AA
